Type,Days_for_shipping_real,Days_for_shipment_scheduled,Benefit_per_order,Sales_per_customer,Delivery_Status,Late_delivery_risk,Category_Id,Category_Name,Customer_City,Customer_Country,Customer_Fname,Customer_Id,Customer_Lname,Customer_Password,Customer_Segment,Customer_State,Customer_Street,Customer_Zipcode,Department_Id,Department_Name,Latitude,Longitude,Market,Order_City,Order_Country,Order_Customer_Id,order_date_DateOrders,Order_Id,Order_Item_Cardprod_Id,Order_Item_Discount,Order_Item_Discount_Rate,Order_Item_Id,Order_Item_Product_Price,Order_Item_Profit_Ratio,Order_Item_Quantity,Sales,Order_Item_Total,Order_Profit_Per_Order,Order_Region,Order_State,Order_Status,Order_Zipcode,Product_Card_Id,Product_Category_Id,Product_Description,Product_Image,Product_Name,Product_Price,Product_Status,shipping_date_DateOrders,Shipping_Mode
DEBIT,6,4,76.790000915527344,159.97999572753906,Late delivery,1,9,Cardio Equipment,Caguas,Puerto Rico,George,4033,Simmons,XXXXXXXXX,Consumer,PR,6924 Lazy Embers Pathway,725,3,Footwear,18.266826629638672,-66.370598,USCA,Los Angeles,Estados Unidos,4033,2016-06-30 21:18:00.0000000,37465,191,40,0.20000000298023224,93508,99.989997863769531,0.47999998927116394,2,199.97999572753906,159.97999572753906,76.790000915527344,West of USA ,California,COMPLETE,90008,191,9,,http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe,Nike Men's Free 5.0+ Running Shoe,99.989997863769531,0,2016-07-06 21:18:00.0000000,Standard Class
DEBIT,3,4,54.709999084472656,113.97000122070313,Advance shipping,0,29,Shop By Sport,Caguas,Puerto Rico,Brandon,4337,Sullivan,XXXXXXXXX,Consumer,PR,9739 Round Spring Expressway,725,5,Golf,18.282699584960938,-66.370544,Africa,Rabat,Marruecos,4337,2017-01-07 08:15:00.0000000,50512,627,6,0.05000000074505806,126214,39.990001678466797,0.47999998927116394,3,119.97000122070313,113.97000122070313,54.709999084472656,North Africa,Rabat-Salé-Zemur-Zaer,COMPLETE,,627,29,,http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe,Under Armour Girls' Toddler Spine Surge Runni,39.990001678466797,0,2017-01-10 08:15:00.0000000,Standard Class
DEBIT,3,4,66,132,Advance shipping,0,24,Women's Apparel,Caguas,Puerto Rico,Mary,11755,Jackson,XXXXXXXXX,Consumer,PR,2075 Honey Panda Dell,725,5,Golf,18.296941757202148,-66.370506,Africa,Ibadan,Nigeria,11755,2017-01-18 00:00:00.0000000,51242,502,18,0.11999999731779099,128048,50,0.5,3,150,132,66,West Africa,Oyo,COMPLETE,,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50,0,2017-01-21 00:00:00.0000000,Standard Class
CASH,3,4,5.0799999237060547,53.990001678466797,Advance shipping,0,17,Cleats,El Paso,EE. UU.,Mary,3406,Smith,XXXXXXXXX,Corporate,TX,9126 Wishing Expressway,79927,4,Apparel,31.651741027832031,-106.26762,Europe,Oldenburg,Alemania,3406,2015-09-12 09:06:00.0000000,17427,365,6,0.10000000149011612,43560,59.990001678466797,9.0000003576278687E-2,1,59.990001678466797,53.990001678466797,5.0799999237060547,Western Europe,Baja Sajonia,CLOSED,,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,Perfect Fitness Perfect Rip Deck,59.990001678466797,0,2015-09-15 09:06:00.0000000,Standard Class
DEBIT,6,4,24.239999771118164,96.949996948242188,Late delivery,1,36,Golf Balls,Perth Amboy,EE. UU.,Jennifer,11985,Moss,XXXXXXXXX,Corporate,NJ,7798 Cinder Dale,8861,6,Outdoors,40.507671356201172,-74.25473,LATAM,Managua,Nicaragua,11985,2017-04-11 07:46:00.0000000,56950,804,3,2.9999999329447746E-2,142440,19.989999771118164,0.25,5,99.949996948242188,96.949996948242188,24.239999771118164,Central America,Managua,COMPLETE,,804,36,,http://images.acmesports.sports/Glove+It+Women%27s+Imperial+Golf+Glove,Glove It Women's Imperial Golf Glove,19.989999771118164,0,2017-04-17 07:46:00.0000000,Standard Class
CASH,2,1,26.780000686645508,59.5,Late delivery,1,37,Electronics,Caguas,Puerto Rico,Mary,3298,Ray,XXXXXXXXX,Corporate,PR,75 Noble Swale,725,6,Outdoors,18.211824417114258,-66.370583,USCA,Seattle,Estados Unidos,3298,2016-08-20 12:39:00.0000000,40934,828,4.4800000190734863,7.0000000298023224E-2,102171,31.989999771118164,0.44999998807907104,2,63.979999542236328,59.5,26.780000686645508,West of USA ,Washington,CLOSED,98105,828,37,,http://images.acmesports.sports/Bridgestone+e6+Straight+Distance+NFL+San+Diego+Chargers...,Bridgestone e6 Straight Distance NFL San Dieg,31.989999771118164,0,2016-08-22 12:39:00.0000000,First Class
PAYMENT,6,4,89.239997863769531,387.98001098632813,Late delivery,1,45,Fishing,Caguas,Puerto Rico,James,5447,Watkins,XXXXXXXXX,Home Office,PR,2977 Emerald Swale,725,7,Fan Shop,18.213554382324219,-66.370522,LATAM,Apopa,El Salvador,5447,2015-05-02 17:31:00.0000000,8340,1004,12,2.9999999329447746E-2,20832,399.98001098632813,0.23000000417232513,1,399.98001098632813,387.98001098632813,89.239997863769531,Central America,San Salvador,PENDING_PAYMENT,,1004,45,,http://images.acmesports.sports/Field+%26+Stream+Sportsman+16+Gun+Fire+Safe,Field & Stream Sportsman 16 Gun Fire Safe,399.98001098632813,0,2015-05-08 17:31:00.0000000,Standard Class
DEBIT,4,2,48.880001068115234,103.98999786376953,Late delivery,1,18,Men's Footwear,Caguas,Puerto Rico,Mary,11213,Black,XXXXXXXXX,Consumer,PR,620 Thunder Creek Towers,725,4,Apparel,18.239755630493164,-66.37059,Africa,Abidjan,Costa de Marfil,11213,2016-10-07 23:26:00.0000000,44253,403,26,0.20000000298023224,110494,129.99000549316406,0.4699999988079071,1,129.99000549316406,103.98999786376953,48.880001068115234,West Africa,Lagunes,ON_HOLD,,403,18,,http://images.acmesports.sports/Nike+Men%27s+CJ+Elite+2+TD+Football+Cleat,Nike Men's CJ Elite 2 TD Football Cleat,129.99000549316406,0,2016-10-11 23:26:00.0000000,Second Class
DEBIT,6,2,135.83000183105469,433.95999145507813,Late delivery,1,62,Cameras ,Caguas,Puerto Rico,Sydnee,13163,Nolan,XXXXXXXXX,Consumer,PR,9816 Grand Hills Knoll,725,10,Technology,18.281721115112305,-66.037056,Europe,Portici,Italia,13163,2017-10-13 03:08:00.0000000,69610,1349,18.079999923706055,3.9999999105930328E-2,172925,452.04000854492188,0.31000000238418579,1,452.04000854492188,433.95999145507813,135.83000183105469,Southern Europe,Campania,COMPLETE,,1349,62,,http://images.acmesports.sports/Web+Camera,Web Camera,452.04000854492188,0,2017-10-19 03:08:00.0000000,Second Class
CASH,2,1,15.789999961853027,167.96000671386719,Late delivery,1,29,Shop By Sport,Caguas,Puerto Rico,Mary,2911,Smith,XXXXXXXXX,Corporate,PR,9166 Golden Nectar Corner,725,5,Golf,18.222728729248047,-66.370529,Africa,Dakar,Senegal,2911,2016-12-04 01:38:00.0000000,48164,627,31.989999771118164,0.15999999642372131,120449,39.990001678466797,9.0000003576278687E-2,5,199.94999694824219,167.96000671386719,15.789999961853027,West Africa,Dakar,CLOSED,,627,29,,http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe,Under Armour Girls' Toddler Spine Surge Runni,39.990001678466797,0,2016-12-06 01:38:00.0000000,First Class
PAYMENT,3,4,54.340000152587891,123.48999786376953,Advance shipping,0,18,Men's Footwear,Caguas,Puerto Rico,Amber,10372,Martin,XXXXXXXXX,Home Office,PR,6481 Golden Island,725,4,Apparel,18.298301696777344,-66.37056,Pacific Asia,Malayer,Irán,10372,2016-10-30 00:07:00.0000000,45762,403,6.5,0.05000000074505806,114382,129.99000549316406,0.43999999761581421,1,129.99000549316406,123.48999786376953,54.340000152587891,South Asia,Hamadán,PENDING_PAYMENT,,403,18,,http://images.acmesports.sports/Nike+Men%27s+CJ+Elite+2+TD+Football+Cleat,Nike Men's CJ Elite 2 TD Football Cleat,129.99000549316406,0,2016-11-02 00:07:00.0000000,Standard Class
TRANSFER,3,4,-367.1199951171875,215.96000671386719,Advance shipping,0,37,Electronics,Caguas,Puerto Rico,Emily,8051,Hutchinson,XXXXXXXXX,Consumer,PR,1467 Wishing Anchor Centre,725,6,Outdoors,18.206024169921875,-66.37056,USCA,Mississauga,Canada,8051,2016-10-15 23:47:00.0000000,44802,818,24,0.10000000149011612,111913,47.990001678466797,-1.7000000476837158,5,239.94999694824219,215.96000671386719,-367.1199951171875,Canada,Ontario,PENDING,,818,37,,http://images.acmesports.sports/Titleist+Pro+V1x+Golf+Balls,Titleist Pro V1x Golf Balls,47.990001678466797,0,2016-10-18 23:47:00.0000000,Standard Class
DEBIT,4,2,88.720001220703125,272.98001098632813,Late delivery,1,43,Camping & Hiking,Caguas,Puerto Rico,Martha,2574,Ward,XXXXXXXXX,Consumer,PR,6025 Cotton Pond Farm,725,7,Fan Shop,18.261795043945313,-66.370552,Europe,Castres,Francia,2574,2017-07-13 01:30:00.0000000,63303,957,27,9.0000003576278687E-2,158277,299.98001098632813,0.33000001311302185,1,299.98001098632813,272.98001098632813,88.720001220703125,Western Europe,Languedoc-Rosellón-Mediodía-Pirineos,COMPLETE,,957,43,,http://images.acmesports.sports/Diamondback+Women%27s+Serene+Classic+Comfort+Bike+2014,Diamondback Women's Serene Classic Comfort Bi,299.98001098632813,0,2017-07-17 01:30:00.0000000,Second Class
DEBIT,5,4,2.130000114440918,24.5,Late delivery,1,7,Hockey,Taylor,EE. UU.,Mary,17,Robinson,XXXXXXXXX,Consumer,MI,1325 Noble Pike,48180,2,Fitness,42.200611114501953,-83.24321,LATAM,Sorocaba,Brasil,17,2017-02-06 21:10:00.0000000,52604,134,0.5,1.9999999552965164E-2,131487,25,9.0000003576278687E-2,1,25,24.5,2.130000114440918,South America,São Paulo,COMPLETE,,134,7,,http://images.acmesports.sports/Nike+Women%27s+Legend+V-Neck+T-Shirt,Nike Women's Legend V-Neck T-Shirt,25,0,2017-02-11 21:10:00.0000000,Standard Class
TRANSFER,5,4,22.680000305175781,47.25,Late delivery,1,7,Hockey,Pico Rivera,EE. UU.,Christine,3760,Burns,XXXXXXXXX,Consumer,CA,6179 Easy Swale,90660,2,Fitness,33.985816955566406,-118.08087,Pacific Asia,Bagcilar,Turquía,3760,2017-01-09 20:30:00.0000000,50684,134,2.75,5.9999998658895493E-2,126660,25,0.47999998927116394,2,50,47.25,22.680000305175781,West Asia,Estambul,PROCESSING,,134,7,,http://images.acmesports.sports/Nike+Women%27s+Legend+V-Neck+T-Shirt,Nike Women's Legend V-Neck T-Shirt,25,0,2017-01-14 20:30:00.0000000,Standard Class
DEBIT,5,4,66.800003051757813,145.21000671386719,Late delivery,1,11,Fitness Accessories,Jonesboro,EE. UU.,John,3971,Smith,XXXXXXXXX,Consumer,AR,3549 Middle Gate Towers,72401,3,Footwear,35.857917785644531,-90.655273,LATAM,Blumenau,Brasil,3971,2017-02-27 09:24:00.0000000,54009,235,29.739999771118164,0.17000000178813934,135047,34.990001678466797,0.46000000834465027,5,174.94999694824219,145.21000671386719,66.800003051757813,South America,Santa Catarina,COMPLETE,,235,11,,http://images.acmesports.sports/Under+Armour+Hustle+Storm+Medium+Duffle+Bag,Under Armour Hustle Storm Medium Duffle Bag,34.990001678466797,0,2017-03-04 09:24:00.0000000,Standard Class
DEBIT,6,4,74.139999389648438,285.1400146484375,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,Eliana,19378,Santos,XXXXXXXXX,Consumer,PR,1142 Round Via,725,2,Fitness,18.257083892822266,-66.037048,Pacific Asia,Bangkok,Tailandia,19378,2018-01-11 20:31:00.0000000,75825,1360,42.610000610351563,0.12999999523162842,179140,327.75,0.25999999046325684,1,327.75,285.1400146484375,74.139999389648438,Southeast Asia,Bangkok,COMPLETE,,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,2018-01-17 20:31:00.0000000,Standard Class
TRANSFER,3,4,37.580001831054688,79.970001220703125,Advance shipping,0,5,Lacrosse,Diamond Bar,EE. UU.,Mary,2465,Smith,XXXXXXXXX,Consumer,CA,3724 High Circuit,91765,2,Fitness,33.99566650390625,-117.8157,Europe,Bacau,Rumania,2465,2016-11-12 08:40:00.0000000,46677,93,19.989999771118164,0.20000000298023224,116695,24.989999771118164,0.4699999988079071,4,99.959999084472656,79.970001220703125,37.580001831054688,Eastern Europe,Bacau,PROCESSING,,93,5,,http://images.acmesports.sports/Under+Armour+Men%27s+Tech+II+T-Shirt,Under Armour Men's Tech II T-Shirt,24.989999771118164,0,2016-11-15 08:40:00.0000000,Standard Class
TRANSFER,3,4,132.99000549316406,379.95999145507813,Advance shipping,0,16,As Seen on  TV!,Lawrenceville,EE. UU.,James,1449,Smith,XXXXXXXXX,Consumer,GA,7373 Heather Nook,30044,3,Footwear,33.941852569580078,-84.086632,Europe,Sarcelles,Francia,1449,2017-07-01 17:38:00.0000000,62527,359,20,0.05000000074505806,156262,99.989997863769531,0.34999999403953552,4,399.95999145507813,379.95999145507813,132.99000549316406,Western Europe,Isla de Francia,PROCESSING,,359,16,,http://images.acmesports.sports/Nike+Men%27s+Free+TR+5.0+TB+Training+Shoe,Nike Men's Free TR 5.0 TB Training Shoe,99.989997863769531,0,2017-07-04 17:38:00.0000000,Standard Class
DEBIT,5,4,85.75,245,Late delivery,1,24,Women's Apparel,Milford,EE. UU.,Raymond,7829,Smith,XXXXXXXXX,Consumer,CT,4047 Cozy Falls,6460,5,Golf,34.289630889892578,-84.170456,LATAM,Soyapango,El Salvador,7829,2015-05-26 08:43:00.0000000,9959,502,5,1.9999999552965164E-2,24888,50,0.34999999403953552,5,250,245,85.75,Central America,San Salvador,COMPLETE,,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50,0,2015-05-31 08:43:00.0000000,Standard Class
DEBIT,3,2,35.669998168945313,127.38999938964844,Late delivery,1,18,Men's Footwear,Caguas,Puerto Rico,Grace,7761,Smith,XXXXXXXXX,Consumer,PR,8609 Grand Harbour,725,4,Apparel,18.22191047668457,-66.370583,LATAM,Tipitapa,Nicaragua,7761,2015-01-12 07:52:00.0000000,777,403,2.5999999046325684,1.9999999552965164E-2,1915,129.99000549316406,0.2800000011920929,1,129.99000549316406,127.38999938964844,35.669998168945313,Central America,Managua,ON_HOLD,,403,18,,http://images.acmesports.sports/Nike+Men%27s+CJ+Elite+2+TD+Football+Cleat,Nike Men's CJ Elite 2 TD Football Cleat,129.99000549316406,0,2015-01-15 07:52:00.0000000,Second Class
DEBIT,6,4,2.7899999618530273,278.98001098632813,Late delivery,1,43,Camping & Hiking,Marrero,EE. UU.,Nicholas,6950,Smith,XXXXXXXXX,Corporate,LA,603 Green Sky Promenade,70072,7,Fan Shop,29.900178909301758,-90.100571,Pacific Asia,Kanpur,India,6950,2015-10-25 11:40:00.0000000,20380,957,21,7.0000000298023224E-2,50874,299.98001098632813,9.9999997764825821E-3,1,299.98001098632813,278.98001098632813,2.7899999618530273,South Asia,Uttar Pradesh,COMPLETE,,957,43,,http://images.acmesports.sports/Diamondback+Women%27s+Serene+Classic+Comfort+Bike+2014,Diamondback Women's Serene Classic Comfort Bi,299.98001098632813,0,2015-10-31 11:40:00.0000000,Standard Class
PAYMENT,2,4,13.260000228881836,50.990001678466797,Advance shipping,0,17,Cleats,Caguas,Puerto Rico,Cheryl,5396,Smith,XXXXXXXXX,Home Office,PR,5348 Gentle Hickory Concession,725,4,Apparel,18.208515167236328,-66.370598,LATAM,Sorocaba,Brasil,5396,2015-01-20 02:57:00.0000000,1311,365,9,0.15000000596046448,3242,59.990001678466797,0.25999999046325684,1,59.990001678466797,50.990001678466797,13.260000228881836,South America,São Paulo,PENDING_PAYMENT,,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,Perfect Fitness Perfect Rip Deck,59.990001678466797,0,2015-01-22 02:57:00.0000000,Standard Class
PAYMENT,3,4,17.950000762939453,107.48999786376953,Advance shipping,0,13,Electronics,Caguas,Puerto Rico,Mary,4560,Smith,XXXXXXXXX,Home Office,PR,4938 Crystal Creek Ramp,725,3,Footwear,18.284317016601563,-66.370537,USCA,Columbus,Estados Unidos,4560,2016-05-09 17:31:00.0000000,33892,276,20.469999313354492,0.15999999642372131,84604,31.989999771118164,0.17000000178813934,4,127.95999908447266,107.48999786376953,17.950000762939453,US Center ,Indiana,PENDING_PAYMENT,47201,276,13,,http://images.acmesports.sports/Under+Armour+Women%27s+Ignite+Slide,Under Armour Women's Ignite Slide,31.989999771118164,0,2016-05-12 17:31:00.0000000,Standard Class
PAYMENT,6,4,94.080001831054688,192,Late delivery,1,24,Women's Apparel,Caguas,Puerto Rico,Kyle,6316,Smith,XXXXXXXXX,Home Office,PR,7107 Blue Rise Place,725,5,Golf,18.223213195800781,-66.370537,USCA,Tempe,Estados Unidos,6316,2016-08-02 21:05:00.0000000,39725,502,8,3.9999999105930328E-2,99103,50,0.49000000953674316,4,200,192,94.080001831054688,West of USA ,Arizona,PENDING_PAYMENT,85281,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50,0,2016-08-08 21:05:00.0000000,Standard Class
PAYMENT,5,4,20.239999771118164,88,Late delivery,1,24,Women's Apparel,Caguas,Puerto Rico,Mary,3752,Vega,XXXXXXXXX,Home Office,PR,7840 Umber Sky Villas,725,5,Golf,18.210573196411133,-66.370583,LATAM,Mexico City,México,3752,2015-01-05 20:39:00.0000000,334,502,12,0.11999999731779099,832,50,0.23000000417232513,2,100,88,20.239999771118164,Central America,Distrito Federal,PENDING_PAYMENT,,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50,0,2015-01-10 20:39:00.0000000,Standard Class
CASH,6,4,31.139999389648438,69.209999084472656,Late delivery,1,72,Pet Supplies,Caguas,Puerto Rico,Ariel,19128,Alexander,XXXXXXXXX,Corporate,PR,398 Pleasant Mountain,725,11,Pet Shop,18.225324630737305,-66.037056,Pacific Asia,Bengkulu,Indonesia,19128,2018-01-08 04:56:00.0000000,75575,1359,15.189999580383301,0.18000000715255737,178890,84.400001525878906,0.44999998807907104,1,84.400001525878906,69.209999084472656,31.139999389648438,Southeast Asia,Bengkulu,CLOSED,,1359,72,,http://images.acmesports.sports/Adult+dog+supplies,Adult dog supplies,84.400001525878906,0,2018-01-14 04:56:00.0000000,Standard Class
TRANSFER,6,4,38.240001678466797,152.97000122070313,Late delivery,1,17,Cleats,Aurora,EE. UU.,Mary,9345,Branch,XXXXXXXXX,Corporate,CO,4767 Wishing Round,80013,4,Apparel,39.495914459228516,-98.989983,Africa,Kinshasa,República Democrática del Congo,9345,2017-01-08 22:05:00.0000000,50620,365,27,0.15000000596046448,126499,59.990001678466797,0.25,3,179.97000122070313,152.97000122070313,38.240001678466797,Central Africa,Kinshasa,PROCESSING,,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,Perfect Fitness Perfect Rip Deck,59.990001678466797,0,2017-01-14 22:05:00.0000000,Standard Class
DEBIT,2,2,5.059999942779541,38.959999084472656,Shipping on time,0,75,Video Games,Caguas,Puerto Rico,Brenna,20349,Le,XXXXXXXXX,Consumer,PR,8255 Hidden Terrace,725,9,Discs Shop,18.217546463012695,-66.037064,Pacific Asia,Korba,India,20349,2018-01-26 00:42:00.0000000,76796,1362,0.80000001192092896,1.9999999552965164E-2,180111,39.75,0.12999999523162842,1,39.75,38.959999084472656,5.059999942779541,South Asia,Chhattisgarh,ON_HOLD,,1362,75,,http://images.acmesports.sports/Fighting+video+games,Fighting video games,39.75,0,2018-01-28 00:42:00.0000000,Second Class
